X_mm;Y_mm;Z_mm
7.004010387693391237e+01;7.570694759238334370e+01;2.599108728686387426e+00
7.737386825527099177e+01;7.550746637276144213e+01;6.623700410878452516e-02
9.133580499977558986e+01;7.553909664932631074e+01;3.117761966402926799e+00
7.741948744275133265e+01;7.600931778747306566e+01;2.603017436045113264e+00
1.369992003631645048e+02;7.465459928387024036e+01;3.347747021415403701e+00
7.835663561965705526e+01;7.546846672008442169e+01;4.958134921680667495e-01
2.387841117623770515e+02;7.404816707423314881e+01;3.890656061139258437e+00
1.633351139992228127e+02;7.410617844624940176e+01;2.198728253021009049e+00
1.397401556205162194e+02;7.501112134591809877e+01;2.971644812568949412e+00
1.973861943316385634e+02;7.315812835310650541e+01;1.390656225128434009e+00
1.043755679244318060e+02;7.493711401034119035e+01;5.706782906150877910e-01
6.979571735377604114e+01;7.557583246654033360e+01;1.887369307498496518e+00
2.468185869407330699e+02;7.354378668827617105e+01;4.465099072117700629e+00
2.048645752883129205e+02;7.353303487373527503e+01;5.668663259857251724e-01
7.844197864446836377e+01;7.580087040131418519e+01;1.487695575416540628e+00
1.034520675111966739e+02;7.469915477923186131e+01;6.620690830409651229e-01
1.163779648420960484e+02;7.499339969813433981e+01;5.957814019917166970e-01
5.032065413942756038e+01;7.627104739839259651e+01;1.010924558001788265e+00
2.308537843063329262e+02;7.249786507697568538e+01;1.169793613575057956e+00
1.053157531952477228e+02;7.584987291727996706e+01;3.079033263965460065e+00
1.068372199863580647e+02;7.529974571593727717e+01;4.990431660825402904e-01
2.413938432190384731e+02;7.299998205697454523e+01;9.254024807843301836e-01
7.880392693561196893e+01;7.550101813496712566e+01;5.108397317306389018e-01
2.022889280897386470e+02;7.391841710724992254e+01;4.923985055325220017e+00
1.928247673786480334e+02;7.390428444836244637e+01;6.517783416069719005e-01
7.941878595585254175e+01;7.586073669948621045e+01;1.451008613271166814e+00
2.179108751547923362e+02;7.342976527724677283e+01;4.695532507739031303e+00
7.986200736763690600e+01;7.582210490195406294e+01;1.495619153527971035e+00
2.113609182360313525e+02;7.334320703614966419e+01;1.023413970578107790e+00
8.034879180172143265e+01;7.546303634737451205e+01;1.142121449969282221e-01
8.022825816807450394e+01;7.595505583388036541e+01;2.589198831733773076e+00
2.388306450502884957e+02;7.336816454463314585e+01;9.097218680034816485e-01
2.083948698765329084e+02;7.442555659848373750e+01;4.591118905311947884e+00
2.198923839980777188e+02;7.364822159609795449e+01;5.429677996003404061e+00
9.435224822526538446e+01;7.540359807895526956e+01;4.760331619762819266e-01
1.059307587469575083e+02;7.466712344276001545e+01;7.777196818873076678e-01
1.303298437653482154e+02;7.534907701414178405e+01;2.969234978441002593e+00
5.640925335298999954e+01;7.627987610235240368e+01;1.593870429361258445e+00
8.083790131842303595e+01;7.544002419100104362e+01;5.166959399497055294e-01
2.128689521527888076e+02;7.296520358244019633e+01;1.420888696495337333e+00
9.044373997020915112e+01;7.539905855537875823e+01;4.363815055517260011e-01
7.637445301626210892e+01;7.541864266548664375e+01;7.932286582862366209e-02
8.087573113223999144e+01;7.544466781700214142e+01;1.229754664313995605e-01
2.195766175972159999e+02;7.430249267542397718e+01;4.423109839653534436e+00
6.893628004303668888e+01;7.557729504279359389e+01;1.444949160035966962e+00
1.909861848693925879e+02;7.451193683959492375e+01;4.969806574420867484e+00
2.495143069887625842e+01;7.609385578742858058e+01;-1.502189331526526152e-02
1.283536107883061277e+02;7.537208277993435956e+01;3.411637958946093008e+00
1.343261404111130446e+02;7.530606703016482584e+01;2.930595069301166866e+00
8.136603930184153910e+01;7.547077121323206939e+01;1.358261977112031615e-01
7.584485589768821967e+01;7.513076403191071506e+01;8.023756516485959500e-02
8.182519259230653574e+01;7.547433997841403652e+01;1.162215009828886786e-01
1.033487743693376899e+02;7.487806547138298185e+01;6.044150723099253053e-01
8.239763699671017605e+01;7.543426830373525149e+01;1.352533600593268936e-01
4.786045513419680475e+01;7.629572903236497439e+01;7.107205962176889047e-01
2.124359864536716884e+02;7.324037196574072084e+01;1.381353651967882845e+00
2.472080165187761338e+02;7.357324939172028166e+01;4.540329454763310402e+00
1.391523833827714043e+02;7.522037729996498001e+01;2.434457359458523484e+00
8.240262785684673474e+01;7.602893574577139191e+01;2.611975845386273587e+00
1.175961021842146010e+02;7.525150297637114249e+01;6.530346533779890494e-01
7.198457818091645777e+01;7.578084780381770713e+01;3.343104829979887671e-01
1.983542896300710936e+02;7.445237336832417441e+01;4.495533385175654928e+00
8.944205072023355285e+01;7.504841333559613759e+01;1.442280182810194988e-01
2.342969476205315118e+02;7.361606148429223140e+01;4.143551199567757415e+00
1.233767032544213436e+02;7.497632894247821866e+01;9.876291741348514064e-01
1.313797350066006402e+02;7.490817780267234127e+01;1.652319905550269308e+00
2.050651241287734194e+02;7.377791751471011139e+01;4.689208411735009463e+00
1.968593166208101195e+02;7.398923028532779256e+01;4.962827223234199003e+00
2.262146343379079099e+02;7.404418319781204616e+01;4.506574581127261503e+00
9.231950483318887279e+01;7.537616872640060706e+01;4.759020998089286691e-01
2.342581993079313065e+02;7.305791356901038114e+01;4.629761268752669245e+00
1.183499719018556959e+02;7.492558008142090387e+01;1.050812684183882961e+00
2.354033956938871199e+02;7.355452762654199717e+01;4.101584445033146231e+00
8.939643934516212198e+01;7.538295838283239902e+01;4.985292526931412449e-01
2.394366746394939582e+02;7.330481036340424339e+01;4.996433930746364993e+00
8.983504935774874411e+01;7.598570166181380614e+01;3.069199692190048623e+00
6.397882290684274409e+01;7.589358288598644720e+01;5.394245542901768831e-01
6.776578618260768394e+01;7.623126222024748699e+01;2.248297850977907686e+00
2.138140116568546887e+02;7.336387181047430772e+01;6.028974287471082771e-01
9.090467478679187252e+01;7.599598260762503799e+01;3.033774687573722151e+00
9.134626685340224128e+01;7.600538258920148849e+01;3.061446251140660380e+00
